Issuer,Title,Content
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Неревидирани финансиски извештаи за ДС СМИТХ АД Скопје - 01.01 - 30.06.2023.
ds-smith-ad-skopje/,ДС Смитх АД Скопје,3 и 9 Месечни известувања- трговски друштва - природа на трошоци 31.03.2023
ds-smith-ad-skopje/,ДС Смитх АД Скопје,6 и 12 Месечни известувања- трговски друштва - природа на трошоци 31.12.2022
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Неревидирани финансиски резултати на ДС СМИТХ АД Скопје до 30.09.2022 година.
ds-smith-ad-skopje/,ДС Смитх АД Скопје,
ds-smith-ad-skopje/,ДС Смитх АД Скопје,"Согласно Глава 6 од Правилата за котација, известуваме за следниве измени во органите на управување:Почитувани, Ве известуваме дека од ден 10.10.2024 за член на Управен одбор на местото на Слаџана Гајиќ е именуван Зоран Мијатовиќ.  Со почит,ДС СМИТХ АД Скопје"
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Образложение за остварените финансиски резултати на ДС СМИТХ АД Скопје до 30.06.2024
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Неревидирани финансиски извештаи 01.01-30.06.2024
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Неревидиран биланс на успех 01.01-31.03.2024
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Одлука за промена на управувачка структура
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Образложение за остварените финансиски резултати на ДС СМИТХ АД Скопје до 31.12.2023
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Неревидирани финансиски извештаи 01.01-31.12.2023
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Одлуки усвоени на Собрание на ДС СМИТХ АД Скопје одржано на 21.02.2024
ds-smith-ad-skopje/,ДС Смитх АД Скопје,Предлог одлуки за Собрание на акционери
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Неревидиран биланс на успех за период 01.01-30.09.2024
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Жито Лукс АД Скопје ги објавува неревидираните финансиски извештаи за период 01.01- 30.06.2024 
zito-luks-ad-skopje/,Жито Лукс АД Скопје,
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно член 40 од Правилата за котација, Жито Лукс АД Скопје објавува неревидиран биланс на успех за првото тромесечие од 2024 година: "
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно Глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај:
 Согласно Глава VI, член 40 од Правилата за котација, Жито Лукс АД Скопје ги објавува неревидираните финансиски извештаи за периодот 01.01.2023 - 31.12.2023 година: "
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Жито Лукс АД Скопје ги објавува неревидираните финансиски извештаи за период 01/01/23 - 30/09/23.
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Жито Лукс АД Скопје ги објавува неревидираните финансиски извештаи за период 01/01/23 - 30/06/23
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно Глава VI, член 40 стaв 1, од Правилата за котација, Жито Лукс АД Скопје, ги објавува Финансиските извештаи за 2022 година со мислење на независниот ревизор, кои беа усвоени на Годишното Акционерско Собрание одржано на 31/05/2023: "
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно член 40 од Правилата за котација, Жито Лукс АД Скопје објавува неревидиран биланс на успех за првото тромесечие од 2023 година:"
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Согласно Глава VI, член 40 од Правилата за котација, Жито Лукс АД Скопје ги објавува неревидираните финансиски извештаи за периодот 01.01.2022 - 31.12.2022 година:"
zito-luks-ad-skopje/,Жито Лукс АД Скопје,
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Неревидиран биланс на успех за период 01.01-30.09.2024
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Образложение за резултатот од работењето за периодот 01.01-30.06.2024. 
zito-luks-ad-skopje/,Жито Лукс АД Скопје,Жито Лукс АД Скопје ги објавува неревидираните финансиски извештаи за период 01.01- 30.06.2024 
zito-luks-ad-skopje/,Жито Лукс АД Скопје,"Одлука за распоредување  на добивката за деловната 2024 година, усвоена на Собрание на акционери на Жито Лукс АД Скопје, одржано на 17.05.2024:"
